"","cellSource","probe","age","patient","SPA","SPAM","SPAMcell","cellType","kmeans.cluster","TGFB1","ITGB1","LY6E","PTEN","HIF1A","GSK3A","ICOSL","GSK3B","IRF2","HPRT","JAK1","STAT3","TGFBR2","VEGFA","FLT4","SFRP1","AIM2","TIMP2","TLR4","PTK2","STAT1","IFNGR1","JAK2","IRF1","ACVR1","NFKB1","TNFAIP3","IL27R","SOCS3","GAPDH","PDL.1","IL4RA","IL18R1","VEGFB","VCAM1","TRAF2","IAPP","NFATC1","TNFRSF1A","FGFR1","PDGFA","TLR3","CSF1","PDGFB","WNT4","ANPEP","MAP2K6","TEK","KLF5","ANGPT1","FYN","CSF2RA","FGR","ICAM1","CEACAM1","INS1","ICAM2","NUR77","INS2","CD74","TNFRSF1B","PDPN","CD36","CCR2","KDR","STAT5","PPARG","LY75","IL34","BCL6","CD44","IFIT1","FGFR3","SPP1","LEPR","IGF1","TIMP1","H2.DMA","EGFR","IRF7","GCG","SST","IFI44","ADGRE1","CD80","CXCR3","IL6","NLRP3","TBX21","ISG15","CD83","PPARGC1A","CD14","GHRL","BCL2","H2.AA","OAS1B","CSF1R","PECAM1","BMP7","IL7","CXCL13","CD24A","ICOS","CSF2RB","RSAD2","PTGS2","COL11A1","CD40","IFIT3","OAS2","TNF","PPY","MX1","IL12RB","LCK","MAPK8","GM13889","VAV1","CD86","GFAP","BMP5","COL1A2","CCR6","IGF2","COL1A1","MMP9","MMP2","STAT4","TNFSF11","ZEB2","TNC","TLR9","DES","CXCL10","ITGAX","IL1R2","PDGFRB","IL25","OASL1","FAP","IL.21","MMP3","ZAP70","SELE","TLR7","CD8A","CLEC7A","CTLA4","FOXP3","IL1B","GATA4","IL1A","ACTA2","CCR1","CCR3","CCR4","CCR5","CCR7","CD28","CD3E","CD4","CXCR4","FCGR1","IFI44L","IFNG","IL10","IL12B","IL17A","IL2","IL27","IL2RA","IL3","IL4","IL5","IL5RA","IL7R","IRF4","MMP1A","PD1","PPARA","RSPO1","WNT2B"
"19","tissue","none","islets","26","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_26_IS_doublet_none_C2",1,4.2595941032627,12.4437233305065,14.901755166,12.50561921,9.0204934535876,11.00890524,0,11.1395817,10.81178586,8.51921451,10.67693422,9.76704408,8.40737794,11.4669623990094,7.7108641613394,8.5910850130232,0,12.4757245498383,9.5650480286267,4.3152636969159,8.35157214,10.77871631,7.58374819,10.97787655,0,9.99381543,7.38228645,1.58682983,8.93372212,14.938691756,7.36852175,7.50346575,10.22264421,6.4566774536831,0,8.53470694,0,8.2376123581067,10.8191453,11.1166397652996,10.6725039964594,10.1718850712677,10.4288080107066,8.0364057634243,9.6736280637958,9.1472091997962,7.33790611,0,10.6860950895761,9.4333789608305,0,7.0338131940491,0,7.9169285458758,0,7.3999775156,0,7.29328879,7.4617753767322,7.3483916400728,4.46734292,10.9055341647088,0,10.68371977,0,4.16489588,0,6.3225445174753,0,8.08131526,2.3627785,0,12.2347454684338,16.190524221095,0,10.9152663703109,6.6110290058449,8.1884180579438,0,3.91875893,0,0,9.47185174,0,0,0,0,0,0,8.61739149,0,9.72361307,10.909682025666,8.0496994828107,6.47023739,7.4246952149193,0,10.9473936487999,0,7.3584528353112,8.59330807,9.5802618489711,13.9846887938759,0,0,0,8.0767383647818,0,0,10.53543373,0,1.88459087,0,0,0,0,0,7.9540762964918,6.80007587,0,1.9282574967203,0,0,9.11589913,4.0658844389792,0,0,0,0,0,0,0,0,3.4909294517579,7.6272035,0,0,0,6.66961632,0,0,0,0,0,1.8422770284615,2.2816314262171,3.2115655227976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","tissue","none","islets","10","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_10_IS_doublet_none_A10",1,8.9927949932275,12.7523846116582,15.746953104,11.64783832,11.8192295247634,11.28634296,8.6278564933621,9.74415248,10.74365199,10.26410187,11.28439715,10.75561274,11.61031914,7.260685809909,9.6267099759036,9.8718278706168,8.45495913,12.8029012950933,9.7554785024413,12.4098737978554,10.89243278,11.68755884,9.496769,11.11776767,7.8648232522558,10.9664935,10.39517725,0,4.58731637,15.408249446,8.2047838,11.99483714,0,5.865480967885,10.5562607101374,7.23319126,0,9.1162361408298,13.3244115,9.7192757386855,8.8972470085936,9.8743588681776,11.5368501643928,8.1685239638994,0,10.0961477666498,8.63893676,12.7540313072342,0,0,10.47287068,1.1437734479547,0,10.2479605760117,0.078641600000001,8.3774233189762,10.0437676950399,10.081572,8.8764864654822,6.9814787755393,11.04007038,0,14.5076189082657,10.60952624,11.3277338840542,1.76221766,6.30104026,0,0,0,0,9.02344401,9.7355839108969,3.6914561441176,12.1569796936161,0,7.3630268636478,7.8413053437546,0,8.58694364,0,0.413418795532301,10.82741134,0,0,0,0,0,0,9.9583123,0,0,8.1338434272923,7.7213217549136,7.62136363,7.1549934133414,7.12466192,6.9244991429651,15.841430610581,0,0,9.9389889852778,6.8084664313708,0,11.1917381386286,7.32676565,7.8692274932622,0,7.2582956,12.33554612,0,4.1118291,0,0,0,0,0,8.8260186881292,4.82393515,0,2.3880921728172,0,0,10.52139043,3.9252321235679,3.178250503254,0,0,0,0,0,5.5198769097255,0,9.8203068092471,5.90696918,5.7479821872066,0,0,3.25031338,0,0,0,0,0,0,3.721526060738,0.886530100000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","tissue","none","islets","49","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_49_IS_doublet_none_E1",1,9.812938863132,10.5535591634627,15.200629627,11.60209921,10.8117474277566,11.13600518,9.9617496987352,6.62649746,11.13818364,10.89202419,10.58635361,10.94305297,9.87161689,8.7981393635949,0,8.0740123223201,11.1557793,3.2283128429396,0,0,13.42289225,10.61142435,12.14702613,12.75493044,8.3324228893966,12.91020251,10.68404438,0,5.18435552,14.763529354,9.76733094,11.1409681,0,6.8512036623699,0,9.21953508,6.1181469292525,9.7184644933234,11.0449167,10.0308288563548,0,9.5843771681884,0,7.8539879660899,0,12.4038195752406,0,0,0,0,10.76986083,9.0177352900084,10.4248349714486,11.2034889002399,0,6.0888870945813,0,9.21025919,15.3949269325627,17.837953961598,10.34525714,0,12.1693744461194,13.47954422,0,7.81210828,7.51608628,7.858475728386,0,10.91581857,0,0,7.4472884880278,10.1427624327985,0,0.711031536872099,6.591918093372,13.0850309217259,0,11.22982136,0,11.5275497205679,5.84416358,6.821910844073,10.2602577723259,9.83197652,0,6.863436595873,0,8.45097411,0,0,4.6211179802693,8.1765674677834,5.21020073,16.7933427403354,0,9.6085270985573,0,0,0,8.4741555224852,13.9651849574749,7.28408022,12.7122964409848,0,6.5083379640187,0,9.99174689,5.12996459,0,4.00128025,0,8.64299546,0,0,0,0,11.2162886,13.3858071215842,0,0,0,7.6605826,0,2.9413934420687,0,0,0,0,0,8.1214643882249,9.5792246677547,9.2846197327116,7.51351279,11.1958809618707,0,0,3.02547155,0,0,0,0,0,0,4.2730135698939,2.8784519159229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","tissue","none","islets","73","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_73_IS_doublet_none_G1",1,10.7061429237712,13.9038113025285,16.121753651,12.11223217,13.6828236164672,12.01245422,9.5298474782583,11.23452005,12.0457197,11.39019421,13.64487263,12.97181581,14.181575638,5.8725583046433,11.3837749599963,0,7.58059608,12.7856394129057,10.5960029307299,12.4198298110474,10.79166991,14.075892189,12.05079258,12.46523181,9.0742409770379,12.03680724,12.03271272,7.27628206,7.03159587,15.427709955,10.24617162,13.23329092,0,0,11.1033262102951,10.23270128,1.17186786748,9.9346511728648,14.695029617,9.8858535644604,9.4037175151349,9.9406007350054,11.5648348694579,10.6486144970852,6.07108390883,10.6539159987879,9.03438384,13.8322598545313,0,1.8010134640767,11.42027288,2.8561252712039,7.4195898526131,13.0531734734383,0.339422219999999,7.9658028918284,11.2231915855925,9.03442428,7.3655017657965,9.999573963538,11.37242623,0,13.0039396213304,9.4627959,13.9277934158246,7.12533926,6.95950743,6.1992393975602,0,0,0,3.40163254,9.8681956967787,0,13.8508216732204,8.5556379345391,7.8775232147478,6.309841670137,0,3.08366874,15.1935606943562,5.660910104342,10.24481596,0,0,0,3.15768103,0,0,10.33832278,0,4.32297988,10.0192089010955,6.7810158867543,6.10491032,10.2713483304119,0,6.7495911940627,16.6829357241769,0,0,6.1777335435911,1.190452990044,0,12.1478775470482,0,6.7424201124321,0.0593467255601006,10.13442586,9.04967405,0,2.66963889,0,0,0,0,8.65300715,11.0883047958078,4.04866855,0,0,0,0,7.32746541,0,0,0,0,0,0,0,7.2856281311057,0,7.1228803448181,9.34420783,2.0029200413446,0,0,0,0,0,0,0,0,9.5082082962497,0,0.16223819,0,0,0,2.8261881315349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","tissue","none","islets","21","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_21_IS_doublet_none_B9",1,5.1482653744571,13.180439475456,16.02202825,11.00138023,11.1037607056357,12.86364913,10.0217047649139,11.30438719,11.18342595,10.42294345,11.7580584,10.50064856,11.36845948,10.7015201833124,7.1698867996254,8.7885835238637,0,11.7339212575326,9.6506882110242,11.241175285633,11.95400072,14.193035015,11.39596558,12.72089181,8.1420460345979,11.19133465,11.7559989,0.496185990000001,4.36570487,16.011972768,7.52184191,11.00805509,10.75459103,7.4655890705556,14.3415024835411,10.33322311,0,9.4774861187061,11.31442395,11.0323628374541,9.8385097438384,7.4474672946595,12.5368195583734,11.8107620186622,7.1937070888779,10.6236441918404,8.38234204,0,12.8642702659246,7.1983830870795,7.30880911,7.1287293140012,0,13.3352448450297,0,5.8891336062647,6.9601452851792,0,8.0242824379901,17.1780477586895,10.27855196,13.0994274850248,0,10.68664436,0,7.78216371,0,8.1392495954282,9.1798524474588,0,8.46222200188015,7.59151158,8.8741120463734,17.1730328136547,0,12.458600359376,8.7381475456101,11.6489260173897,10.0639741431425,8.15722273,0,7.0330917032172,9.7747953,0,0,0,0,0,3.47204759,11.01151664,9.5028370917162,8.17167751,13.0585734524767,8.718030309315,8.09086646,14.9870769595356,0,7.3841084385364,0,0,0,9.2474305727968,14.3854778625513,0,8.1103221536819,7.90310703,7.518633417924,0,0,10.86569311,0,12.82527978,0.135232629214102,0,7.3773489,0,0,0,6.83380229,0,0,0,0,7.98754466,6.0840281152745,0,0,0,0,0,0,9.2834828290645,0,3.6167577555458,7.63451679,6.6113454094336,0,0,0,4.19561436,0,0,0,0,0,4.6026894306612,3.6964241604945,0,0,0,3.248934256558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","tissue","none","islets","93","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_93_IS_doublet_none_H9",1,9.2629665597904,14.3928982139601,17.139091327,13.43896501,14.1888346449343,12.89057782,10.2343094573025,12.14314354,12.98939252,12.31237695,13.81724073,13.39112265,14.993550972,0,11.3228451252494,7.4260501793228,9.02220939,14.1606444032343,11.7476149669655,13.0323644837841,12.36887927,14.051574832,11.92171899,12.93680461,7.641205337367,12.67659068,10.29075369,5.4988104,8.9608399,16.031189226,9.65262025,14.145694381,0,6.6711200405683,13.1787194462727,10.88802689,0,11.6093151621354,15.620839342,11.2365481227652,6.9360674768177,11.0415522452396,13.747379285918,12.2812783835165,0,11.8831433690875,9.98999814,15.0591539463855,0,0,12.81851957,0,0,13.7957788775636,3.38600249,7.7245445842803,11.5756884555081,9.8940839,8.7616168241359,13.5050087594811,13.31467709,0,14.9301985578845,10.89668317,12.9637187188952,6.6258371,8.10983271,0,0,0,0,9.50783453,11.7433693455813,0,15.1556233531513,9.4544128277461,7.2057258581375,8.4708423940401,0,10.95073814,8.7049307368464,7.5625790331159,12.14062722,0,0,0,0,0,0,10.90117138,0,0,10.576212977244,8.2237525966306,7.36553702,9.4743916913995,7.72062502,7.190660429435,17.404120702722,0,0,10.4184111899703,6.3663307708108,0,12.6261550914976,0,7.8083432621362,0,1.10793439,11.36018705,0,4.010178,3.6675824927098,0,0,0,0,10.1796924442355,7.28929417,0,0,0,0,8.77710847,8.1923713327503,0,0.858907141913502,0,0,0,0,8.7507567270365,0,2.5781941490394,5.57243468,7.1959051397926,0,0,1.96771154,0,0,0,0,0,0,4.5474307428571,6.38020753986855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","tissue","none","islets","34","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_34_IS_doublet_none_C10",1,0,12.9898647470149,16.448224875,12.62082815,11.9148917187431,11.63433146,7.9469032271419,11.99304502,11.01409604,12.00514658,12.09990358,12.95502845,10.5928338,12.9974901846866,0,8.1251558194576,0,13.0472024069998,8.1265381796249,11.6928179940894,15.331498413,13.10461111,10.28231033,14.42811333,9.8119865417937,11.68742038,11.07166661,0,6.5046105,15.679604224,10.25433655,11.49530243,10.16359792,6.3482625846706,10.4449671079711,11.21611979,1.3660952624832,9.373152287494,13.43265563,10.2818785859391,9.6062065233075,10.9345759355378,10.8208113331035,7.6045316493262,10.458803373869,10.9914377877048,10.36860049,0,10.9956829072578,8.7259874296949,0,8.437705152061,9.3233899604122,13.1233978142342,0,8.9093429912657,0,0,7.8984697619595,17.2602236977902,9.44194557,9.4063437536912,0,11.11487602,0,8.88051029,7.82993695,9.0273427613519,10.4583012960608,11.79170118,4.5564600005961,0,13.4836054123782,18.9811308590545,6.9003750526394,12.603180523664,6.7231558989119,12.6519374832659,10.5016151184241,10.18643711,3.2372122372767,6.3562229081854,10.75120353,0,0,0,0,0,0,11.86347296,0,10.90127059,13.8841876657234,8.9278122127951,8.51239734,15.5188015183705,0,8.5377106151744,0,9.3293327867887,10.61843078,9.7365413068842,15.2444594402928,0,5.3507007006993,2.60455267,9.6874565723052,0.0146178194409998,0,11.72320136,9.65428093,11.08368289,2.2095035954256,0,0,6.9895988593461,0,4.8856353996986,8.60942675,0,2.062523447429,0,0,10.04065732,7.6913254961335,4.1841873648011,1.2182364522075,0,0,0,0,9.8087863700762,0,7.5168124094401,11.72102363,6.1823415252259,0,0,6.89641445,0,0,0,0,0,0,7.8147249711426,3.6386577469341,0,0,0,5.1856223634006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","tissue","none","islets","87","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_87_IS_doublet_none_H3",2,0,10.3507148969746,8.83083089,8.99370529,0,8.54334559,0,9.07457724,8.11900953,9.13941285,7.18898768,9.33886978,0,12.0810114133485,0,0,0,7.5648333441116,0,6.4896343559601,0,0,8.59266816,3.639145,8.4203205869515,9.79219246,0,0,4.34706531,12.69819948,9.19278983,0,0,7.7303780568539,0,7.17878949,3.571884902295,0,0,9.0192592617815,0,0,0,0,9.0457390729425,0,0,0,0,0,0,1.7157257865155,0,0,0,0,0,0,14.2009088885434,5.0210049234234,0,0,6.4108834017263,6.59555324,0,5.35814854,0,0,0,0,0,0,8.0685983645863,2.481687025296,0,1.9447313142331,0,5.9391763301159,0,0,21.5,7.8102632721411,6.64482423,0,0,0,0,0,0,0,8.0954022488785,0,0,5.0152174687442,6.98897763,5.9244548711727,0,0,0,0,0,8.1785720225681,0,0,3.4371547510555,0,0,0,6.78060334,3.84363528,0,0,2.5132023763635,0,0,0,0,0,2.28812864,0,0,0,7.0316097891501,0,0,0,0,0,0,0,0,0,0,5.255426384756,6.48411953,7.2266004084935,0,0,0,0.365680430000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","tissue","none","islets","18","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_18_IS_doublet_none_B6",2,0,9.7876153452757,12.29925745,10.05052727,9.3406329770106,10.15874229,0,7.82461654,8.42814029,9.87466043,8.01557833,6.9473263,0,11.3912270548522,0,0,0,7.7200617188793,0,7.7052563843318,6.6460014,9.04334171,7.5397435,8.48472652,6.0880685946953,5.15825859,7.22949131,0,0,13.31277101,7.3414223,0,0,0,0,7.27163405,11.9516558275058,0,0,0,5.458384942429,7.9362765575576,0,0,0,6.9197058902606,0,0,7.4425680475039,0,2.44521875,2.2790817383271,0,0,0,0,0,7.86724056,14.7911291518797,1.0538596340912,0,0,0,0,0,0,0,0,0,0,1.63760323871495,0,0,0,0,0,6.2011901831497,4.3393531658677,0,0,8.1040828443063,20.2515932655027,0,0,0,0,0,0,0,7.53499998,5.5531229440003,0,0,0,0,0,0,0,0,0,0,6.7380947129567,13.156538012022,0,0,0,0,0,6.45004101,4.02293889,0,0,13.0159373205807,0,0,0,0,2.4929462180196,0,0,0,0,0,0.460071169999999,6.4287324474579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8640782872037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","tissue","none","islets","36","tissue.none.islets","FR.islets","tissue","FR_RNA_T1D_MS_20251103_P1_SEEP05_wk11_NOD-M_36_IS_doublet_none_C12",2,0,9.7910842370186,11.40574511,10.0295708,8.1808673238466,7.87728445,0,8.20332751,0,9.57865507,7.25094493,9.37872204,0,11.0058748446568,0,0,0,0,0,0.4453198369619,0,0,7.59292146,7.01456602,0,9.8194667,0,0,5.01250896,13.77987587,0,0.147017630000001,0,4.9377091176937,0,0,7.082653430852,0,0,8.4970601047051,0,0,0,0,10.0547929627449,2.7369728193927,0,0,0,0,0,0,0,0,0,5.896928058496,0,0,14.8643630705785,6.6112589871713,0,0,0,6.27821262,0,0,0,0,0,6.57992185,0,0,4.004697092457,5.8178227503681,0,3.761685331901,0,8.0165420227095,0,7.6497174,20.3883792374934,7.4611853758746,9.44362963,0,0,0,0,0,0,8.76640435,0,0,7.2434188563126,0,3.52874954,7.5095557512961,0,5.4499757023584,0,0,0,8.3110309218375,4.9837200025172,0,0,0,7.5163425877938,0,2.7926191,8.97879114,0,3.09205894,0,0,0,0,0,7.0416801721114,6.3823462,0,0,2.3218554374575,0,7.00207088,0,0,4.0744878706637,0,0,0,0,9.103196545131,0.930352305517999,0,0,1.1576860125935,0,0,0,0.209163700000001,0,0,0,0,0,0,5.32688421735385,0,0,0,3.2853189844848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
